SOURCE_ID,SHA256,SHARD,MEMBER,FILE_SIZE_BYTES
,016bca99849d48efdd098e46c94cad351489992007120c8a8acc3bfc20d2e181,negotiation-corpus-0001.zip,pdf/01/016bca99849d48efdd098e46c94cad351489992007120c8a8acc3bfc20d2e181.pdf,2363146
,017334c7bbfc8b78cc19f19e9e3eb61a8be095810fded9c9fc9b2bc0c07d7a05,negotiation-corpus-0001.zip,pdf/01/017334c7bbfc8b78cc19f19e9e3eb61a8be095810fded9c9fc9b2bc0c07d7a05.pdf,2627456
,01783c4d821df7809921b5169bc4855358a5fc5f3eeb5bb73c1b44976474606c,negotiation-corpus-0001.zip,pdf/01/01783c4d821df7809921b5169bc4855358a5fc5f3eeb5bb73c1b44976474606c.pdf,3585347
,018285d0d3c31642edacdbbc9eaa91ffc6332362a9db2272bd98a36393c45b02,negotiation-corpus-0001.zip,pdf/01/018285d0d3c31642edacdbbc9eaa91ffc6332362a9db2272bd98a36393c45b02.pdf,776792
,0182f1082399a1722424f88cf7ad0a596e0b8e75a69795907624a26181322e9e,negotiation-corpus-0001.zip,pdf/01/0182f1082399a1722424f88cf7ad0a596e0b8e75a69795907624a26181322e9e.pdf,155560
,018f04e8ca67f631afc5cdbde6920ef01301126a4ba5c48bcf9a5b098613a170,negotiation-corpus-0001.zip,pdf/01/018f04e8ca67f631afc5cdbde6920ef01301126a4ba5c48bcf9a5b098613a170.pdf,190406
,0193762571a69bd8033e2995c067812bc287c85640edbe47715e5af27ecef449,negotiation-corpus-0001.zip,pdf/01/0193762571a69bd8033e2995c067812bc287c85640edbe47715e5af27ecef449.pdf,917792
,01978dfdb9f50b1c05a28ef563a1dff46669af7a7f0d958e3c8485afe4acce8d,negotiation-corpus-0001.zip,pdf/01/01978dfdb9f50b1c05a28ef563a1dff46669af7a7f0d958e3c8485afe4acce8d.pdf,620488
,019b22c22181c0c0c73c60fa42766d6a468b9c8a4614ee74a6ef7aa0e32038fe,negotiation-corpus-0001.zip,pdf/01/019b22c22181c0c0c73c60fa42766d6a468b9c8a4614ee74a6ef7aa0e32038fe.pdf,96363
,01a6367bde2b98769e79d4d2b0706e073144e79564c2c603e5e4ee9d49f1b784,negotiation-corpus-0001.zip,pdf/01/01a6367bde2b98769e79d4d2b0706e073144e79564c2c603e5e4ee9d49f1b784.pdf,694459
,01aa2b757b46859eca4c0a6a597b2e0890f21ffcfd76196edd905ff1327c88e5,negotiation-corpus-0001.zip,pdf/01/01aa2b757b46859eca4c0a6a597b2e0890f21ffcfd76196edd905ff1327c88e5.pdf,5186513
,01b3a206ac8cb523963c91695bdbb957db82dbed4436a99d866a4956ec2d4142,negotiation-corpus-0001.zip,pdf/01/01b3a206ac8cb523963c91695bdbb957db82dbed4436a99d866a4956ec2d4142.pdf,4148164
,01cd59e25b602de01fa11b76fe6b6dfe4decc2d49ee2455dab8cbb5b90f9de27,negotiation-corpus-0001.zip,pdf/01/01cd59e25b602de01fa11b76fe6b6dfe4decc2d49ee2455dab8cbb5b90f9de27.pdf,513060
,01d24bf35fc2dffc5ae7ab555e21f4ef2401f3d5013768905548f6d11488f1c6,negotiation-corpus-0001.zip,pdf/01/01d24bf35fc2dffc5ae7ab555e21f4ef2401f3d5013768905548f6d11488f1c6.pdf,1058145
,01d4705bb5e90c91c33fa525540229d986828bce5fcfe74d9891d3a0c22aa1be,negotiation-corpus-0001.zip,pdf/01/01d4705bb5e90c91c33fa525540229d986828bce5fcfe74d9891d3a0c22aa1be.pdf,2935664
,01da6d50070b1fcdec22d0a53303e762ecf30a916214086b72392f152ff772e6,negotiation-corpus-0001.zip,pdf/01/01da6d50070b1fcdec22d0a53303e762ecf30a916214086b72392f152ff772e6.pdf,739667
,01e2316dd1f724b9d1e38daf02f8e5d099774dec3ae86684bca34d7c53f03017,negotiation-corpus-0001.zip,pdf/01/01e2316dd1f724b9d1e38daf02f8e5d099774dec3ae86684bca34d7c53f03017.pdf,5363890
,01eb0e61a2fd0da8d0cf80826c8107f519f3027222ab970a56b757eb34ecdf7a,negotiation-corpus-0001.zip,pdf/01/01eb0e61a2fd0da8d0cf80826c8107f519f3027222ab970a56b757eb34ecdf7a.pdf,1594730
,01f07b587da84e37dbaa101c98b995ee5c412400580bb62d5400777a6633fd90,negotiation-corpus-0001.zip,pdf/01/01f07b587da84e37dbaa101c98b995ee5c412400580bb62d5400777a6633fd90.pdf,1376274
,01f5f9ebed0b7f6d53317514614907629cc62bb94a876fbe2d60264a2d842f95,negotiation-corpus-0001.zip,pdf/01/01f5f9ebed0b7f6d53317514614907629cc62bb94a876fbe2d60264a2d842f95.pdf,791101
,01fc0b1478af8fc6e7fca61e3cfab34dcb482475acd6643bf36f8208ce751867,negotiation-corpus-0001.zip,pdf/01/01fc0b1478af8fc6e7fca61e3cfab34dcb482475acd6643bf36f8208ce751867.pdf,2364865
,0207e04848d4e5a2b6becf16fb77284744589c4ba17c422b8e711328563582ab,negotiation-corpus-0001.zip,pdf/02/0207e04848d4e5a2b6becf16fb77284744589c4ba17c422b8e711328563582ab.pdf,425227
,0209fcc03898e936e9238779341dbe2615d8cdbf77462be96b4cef440ebc82b9,negotiation-corpus-0001.zip,pdf/02/0209fcc03898e936e9238779341dbe2615d8cdbf77462be96b4cef440ebc82b9.pdf,654138
,020a722993bc27e01e9b58ee1b16945341c6fdecc969bfa23dd44205e26dfec4,negotiation-corpus-0001.zip,pdf/02/020a722993bc27e01e9b58ee1b16945341c6fdecc969bfa23dd44205e26dfec4.pdf,1741829
,020f521f36561e415bed3d6adc01ab37101b3eadd7a332ab4b5522132eab428c,negotiation-corpus-0001.zip,pdf/02/020f521f36561e415bed3d6adc01ab37101b3eadd7a332ab4b5522132eab428c.pdf,398112
,0212c235c9768445f589e618bd5556ea451b3497cea990e10d9aef83e4c16fb0,negotiation-corpus-0001.zip,pdf/02/0212c235c9768445f589e618bd5556ea451b3497cea990e10d9aef83e4c16fb0.pdf,9416337
,022013aed332fb006cc8b3a974648dcff1c24fd9cbad3fa79a0b9a9efe91dadc,negotiation-corpus-0001.zip,pdf/02/022013aed332fb006cc8b3a974648dcff1c24fd9cbad3fa79a0b9a9efe91dadc.pdf,3383062
,022e94f67427363f955ab1b4c18969bf1feeaa3d511fc275b96bff6af0c3cbb0,negotiation-corpus-0001.zip,pdf/02/022e94f67427363f955ab1b4c18969bf1feeaa3d511fc275b96bff6af0c3cbb0.pdf,5466786
,022f606553701974fa31ed16bbfc9890d9772b11f1e67461d8eab230d1bf28f8,negotiation-corpus-0001.zip,pdf/02/022f606553701974fa31ed16bbfc9890d9772b11f1e67461d8eab230d1bf28f8.pdf,51871
,0239a29009a766a86c557d53f0e11c184651555248d8793b948ad2d37db2e56a,negotiation-corpus-0001.zip,pdf/02/0239a29009a766a86c557d53f0e11c184651555248d8793b948ad2d37db2e56a.pdf,3394868
,02482e480da3e3c77de68a7e386961fe5ddd4c17e2382acf7386750a9eff7cd3,negotiation-corpus-0001.zip,pdf/02/02482e480da3e3c77de68a7e386961fe5ddd4c17e2382acf7386750a9eff7cd3.pdf,332396
,0248fa4b1831d31888db8055a88dacf7cfef1ee8ce83fc82f02666e648eb7f72,negotiation-corpus-0001.zip,pdf/02/0248fa4b1831d31888db8055a88dacf7cfef1ee8ce83fc82f02666e648eb7f72.pdf,5476052
,0249eea9abe03bfd5983940f3abb7a9f89f263864b2cc5be5464248136eaabcd,negotiation-corpus-0001.zip,pdf/02/0249eea9abe03bfd5983940f3abb7a9f89f263864b2cc5be5464248136eaabcd.pdf,2034737
,0257385eabd711542aa7de68a3873bab60d1a60153d143ded3d7ee12a4d4aecb,negotiation-corpus-0001.zip,pdf/02/0257385eabd711542aa7de68a3873bab60d1a60153d143ded3d7ee12a4d4aecb.pdf,2069944
,02586a799123a71eaa304ece490cbffc755debaf75fdb5ad61c97ca18f51e30f,negotiation-corpus-0001.zip,pdf/02/02586a799123a71eaa304ece490cbffc755debaf75fdb5ad61c97ca18f51e30f.pdf,229411
,025f6a4c299a0c11686ab899f4ad9b820ac343a6c77aa71284c4df27df1df49c,negotiation-corpus-0001.zip,pdf/02/025f6a4c299a0c11686ab899f4ad9b820ac343a6c77aa71284c4df27df1df49c.pdf,2720126
,0260cdf0fea182f1b348e9e815831d897eff0d22b818bab483946f7dfa632c9f,negotiation-corpus-0001.zip,pdf/02/0260cdf0fea182f1b348e9e815831d897eff0d22b818bab483946f7dfa632c9f.pdf,8641227
,0267d07f8bc3d236b52d6d6f9eb65d6cfc7fc1295406311f25c03e87c5cdb6fb,negotiation-corpus-0001.zip,pdf/02/0267d07f8bc3d236b52d6d6f9eb65d6cfc7fc1295406311f25c03e87c5cdb6fb.pdf,2567140
,026b40b857ad8d9a78933c60ff3a97ee5951e645f11c174c1966b3d8e6d5e74a,negotiation-corpus-0001.zip,pdf/02/026b40b857ad8d9a78933c60ff3a97ee5951e645f11c174c1966b3d8e6d5e74a.pdf,2532907
,026c9765e1178878eb83b36c644e483fc235c6f2dfcd8234ebddc6c53d0e8260,negotiation-corpus-0001.zip,pdf/02/026c9765e1178878eb83b36c644e483fc235c6f2dfcd8234ebddc6c53d0e8260.pdf,20479
,02718b6c51b61dc743961a29946d747ad89a37ecfb4591a4d8336ffb15473dd5,negotiation-corpus-0001.zip,pdf/02/02718b6c51b61dc743961a29946d747ad89a37ecfb4591a4d8336ffb15473dd5.pdf,3586071
,0274a115d874b62c8e1d9e5c2d6c905071f51a7d8193b3214cbdff58e0b530a4,negotiation-corpus-0001.zip,pdf/02/0274a115d874b62c8e1d9e5c2d6c905071f51a7d8193b3214cbdff58e0b530a4.pdf,121383
,02761227b8d2e2a4d4b780ada291892038614721d47cfaec30f468a2e2e7e20b,negotiation-corpus-0001.zip,pdf/02/02761227b8d2e2a4d4b780ada291892038614721d47cfaec30f468a2e2e7e20b.pdf,1493996
,02805cec635392c9a4b5cbcaefd72f2683b3d2ea534b58e678956bd278d53db4,negotiation-corpus-0001.zip,pdf/02/02805cec635392c9a4b5cbcaefd72f2683b3d2ea534b58e678956bd278d53db4.pdf,415825
,0283e65eaae5d12357c509494efbddb0f86462957b5bf46b1ed13b7125f4ef32,negotiation-corpus-0001.zip,pdf/02/0283e65eaae5d12357c509494efbddb0f86462957b5bf46b1ed13b7125f4ef32.pdf,9997482
